query,tfidf_result,chroma_result_1,chroma_result_2,chroma_result_3,chroma_id_1,chroma_id_2,chroma_id_3,tfidf_in_chroma_top3
@GloCare I have not been able to recharge since yesterday. This is too basic @117627,@GloCare I have not been able to recharge since yesterday. This is too basic @117627,@GloCare I have not been able to recharge since yesterday. This is too basic @117627,@GloCare @227840 I can't recharge now because of this,Can't recharge @GloCare . No vex me please.,1884547,628562,1083105,True
@GloCare glo please what's happening o was unable to make calls since yesterday haaaa +2347055431213,@GloCare glo please what's happening o was unable to make calls since yesterday haaaa +2347055431213,@GloCare glo please what's happening o was unable to make calls since yesterday haaaa +2347055431213,Haven't been able to make calls since yesterday @117627 @GloCare what is happening?,What's happening... Can't make calls @glocare,1885763,1886236,1016150,True
"@GloCare hi for 2days now I have not being able to make calls,text or even check my balance. As soon as I try making a call d line cuts..","@GloCare hi for 2days now I have not being able to make calls,text or even check my balance. As soon as I try making a call d line cuts","@GloCare hi for 2days now I have not being able to make calls,text or even check my balance. As soon as I try making a call d line cuts..","@GloCare hi for 2days now I have not being able to make calls,text or even check my balance. As soon as I try making a call d line cuts..","@GloCare hi for 2days now I have not being able to make calls,text or even check my balance. As soon as I try making a call d line cuts",1885771,2330412,1885075,True
@GloCare please Why can't I check my account balance ?,@GloCare please Why can't I check my account balance ?,@GloCare please Why can't I check my account balance ?,@GloCare checking my account balance.,@GloCare I can't check the balance either..,1885853,1433271,1412083,True
@GloCare we can't make calls plz,@GloCare we can't make calls plz,@GloCare we can't make calls plz,What's happening... Can't make calls @glocare,@GloCare I can't make calls with my line,1885863,1016150,1885865,True
@GloCare I can't make calls with my line,@GloCare I can't make calls with my line,@GloCare I can't make calls with my line,@GloCare can't make calls with my line since yesterday 07058755836. Pls resolve the issue,"@GloCare Hello, having problem with making calls how can this be resolved.",1885865,1884811,1884946,True
@GloCare I have been unable to make calls and check balance since yesterday.,@GloCare I have been unable to make calls and check balance since yesterday.,@GloCare I have been unable to make calls and check balance since yesterday.,@117627 @GloCare have trying to make call since morning but wasn't going. Can't even check my acct balance,"@117627 @glocare I can't call on my line, I can't check my account balance either... Pls help, being having this problem since yesterday",1885867,1884550,1884706,True
@GloCare I can't recharge since yesterday pls want is going on good morning,@GloCare I can't recharge since yesterday pls want is going on good morning,@GloCare I can't recharge since yesterday pls want is going on good morning,@GloCare @227840 I can't recharge now because of this,Can't recharge @GloCare . No vex me please.,1885869,628562,1083105,True
@GloCare @117626 is good Stil in this country? Can't use my phone to call out since over 12hrs and everything seem good?,@GloCare @117626 is good Stil in this country? Can't use my phone to call out since over 12hrs and everything seem good?,@GloCare @117626 is good Stil in this country? Can't use my phone to call out since over 12hrs and everything seem good?,@117627 @GloCare @145585 pls i need an explanation for the inability to make or receive calls since yesterday. this is appalling.,@GloCare @165622 @GloCare I cannot make calls not send messages on my phone now for 24hrs. 08114923922. Please help me check. It’s urgent as this is my business line,1885872,1886084,209691,True
"Hi @GloCare I've not been able to recharge since yesterday morning, and your customer care lines aren't connecting. Please help.","Hi @GloCare I've not been able to recharge since yesterday morning, and your customer care lines aren't connecting. Please help.","Hi @GloCare I've not been able to recharge since yesterday morning, and your customer care lines aren't connecting. Please help.",@GloCare What's happening? I can't recharge my line. What is going on?,"@GloCare I tried in loading a recharge care to no avail.  Had tried calling Customer care at no help in sight,  what do I do?",1885875,995141,1886871,True
"@GloCare pls I need an answer and urgent response, have not been able to make calls with my line and I have about #800 08073886621","@GloCare pls I need an answer and urgent response, have not been able to make calls with my line and I have about #800 08073886621","@GloCare pls I need an answer and urgent response, have not been able to make calls with my line and I have about #800 08073886621",@GloCare I dont know the reason why i cant make call on my line tonight. 07056127368 is my number,"@GloCare  dear provider my number is 08056924476, can i know the reason WHY  i cant recieve call on this line again? THANKS",1885877,1199690,1304099,True
@GloCare network has been down since yesterday and it's super annoying.,@GloCare network has been down since yesterday and it's super annoying.,@GloCare network has been down since yesterday and it's super annoying.,Who else is @GloCare network messing up right now? Mine is over a month after several complaints. Can't do anything reasonable online.,"@GloCare Unfortunately Network is down again.
This is truly unfortunate. No guarantee on glo networks!",1885882,276387,1686962,True
@GloCare wat is wrong wit ur network as i cudnt call out since  yesterday eventhough i av enuf card . Kindly check. 07055534656,@GloCare wat is wrong wit ur network as i cudnt call out since  yesterday eventhough i av enuf card . Kindly check. 07055534656,@GloCare wat is wrong wit ur network as i cudnt call out since  yesterday eventhough i av enuf card . Kindly check. 07055534656,"@GloCare what is the problem with your network? Load a card problem, make a calls problem. I can't make a call since 3 days now.",@GloCare glo good evening what's wrong with ur network I cant make calls or browse my no is 08075367275,1885886,1334882,2490264,True
@GloCare I can not load card since yesterday. It showing connection error,@GloCare I can not load card since yesterday. It showing connection error,@GloCare I can not load card since yesterday. It showing connection error,@GloCare kindly check on my line could not dial or load card 08058341008,@GloCare pls i have been trying to load card but is given me a problem,1885888,1884774,1884543,True
@GloCare I can't make call!!!! 07053662997 Why!!! 😢😔,@GloCare I can't make call!!!! 07053662997 Why!!! 😢😔,@GloCare I can't make call!!!! 07053662997 Why!!! 😢😔,@GloCare I dont know the reason why i cant make call on my line tonight. 07056127368 is my number,"@GloCare I can't make calls with this number 08158249771, all my calls doesn't go through, why?",1886057,1199690,1936670,True
So apparently I have 3G/4G network on my phone since yesterday but yet I haven't been able to make calls...@117627 @GloCare I wan port o.,So apparently I have 3G/4G network on my phone since yesterday but yet I haven't been able to make calls...@117627 @GloCare I wan port o.,So apparently I have 3G/4G network on my phone since yesterday but yet I haven't been able to make calls...@117627 @GloCare I wan port o.,"@GloCare hey, is it true i cant receive calls on my line when on 4G?","@GloCare , I am unable to make calls with my mobile. Please help!",1886061,317818,1304105,True
"@GloCare @117627 It has happened again, this is not cool at all....","@GloCare @117627 It has happened again, this is not cool at all....","@GloCare @117627 It has happened again, this is not cool at all....",@GloCare @117627 Done that since yesterday still the same thing ....,@117627 @GloCare This just happened now. Stop this rubbish abeg. https://t.co/8ambszcDsW,1886060,1692398,94512,True
@GloCare your network at Elelewon is bad. We can't make calls when there's no light pls give us network,@GloCare your network at Elelewon is bad. We can't make calls when there's no light pls give us network,@GloCare your network at Elelewon is bad. We can't make calls when there's no light pls give us network,"@GloCare The internet is still unstable. I can't even make the call you asked me to because ""Cellular network not availabe"".",@GloCare what’s happening with Glo network? I can’t make call since yesterday.,1886067,428866,1190659,True
@117627 @GloCare @145585 pls i need an explanation for the inability to make or receive calls since yesterday. this is appalling.,@117627 @GloCare @145585 pls i need an explanation for the inability to make or receive calls since yesterday. this is appalling.,@117627 @GloCare @145585 pls i need an explanation for the inability to make or receive calls since yesterday. this is appalling.,Haven't been able to make calls since yesterday @117627 @GloCare what is happening?,@GloCare 24hrs &amp; I still can't make calls. I can only receive. What's going on?,1886084,1886236,474002,True
"@GloCare hi, can't make call or send text message on my line. Kindly help out. 09050359415","@GloCare hi, can't make call or send text message on my line. Kindly help out. 09050359415","@GloCare hi, can't make call or send text message on my line. Kindly help out. 09050359415",@GloCare @165622 @GloCare I cannot make calls not send messages on my phone now for 24hrs. 08114923922. Please help me check. It’s urgent as this is my business line,@GloCare I have not been able to receive phone calls and send sms on my line for a while now,1886087,209691,1920846,True
@GloCare Kilosele gan gan?. I can't make calls since yesterday. E sanu aje o. Cc @117627,@GloCare Kilosele gan gan?. I can't make calls since yesterday. E sanu aje o. Cc @117627,@GloCare Kilosele gan gan?. I can't make calls since yesterday. E sanu aje o. Cc @117627,"Please @117627 @GloCare since yesterday I've not been able to make calls
Se mo gbeke owo yin ni?",Oro @117627 @GloCare yi ti su mi. 🙅. I couldn't make or receive call since yesterday.,1886089,1886094,1884958,True
"Please @117627 @GloCare since yesterday I've not been able to make calls
Se mo gbeke owo yin ni?","Please @117627 @GloCare since yesterday I've not been able to make calls
Se mo gbeke owo yin ni?","Please @117627 @GloCare since yesterday I've not been able to make calls
Se mo gbeke owo yin ni?","@117627 @GloCare Cant call, cant recieve",@GloCare glo please what's happening o was unable to make calls since yesterday haaaa +2347055431213,1886094,2441574,1885763,True
@GloCare I will appreciate swift response as I have urgent calls to make. Thanks,@GloCare I will appreciate swift response as I have urgent calls to make. Thanks,@GloCare I will appreciate swift response as I have urgent calls to make. Thanks,"@GloCare 09052984366, thanks for the swift response",@GloCare Please do.  Thank you.,1886121,524809,1831501,True
"@GloCare 08055138456 Hello, since yesterday afternoon til now I cannot make a call. Whenever I try to call, it will cut off by itself, but my Internet is working fine.Pls help","@GloCare 08055138456 Hello, since yesterday afternoon til now I cannot make a call. Whenever I try to call, it will cut off by itself, but my Internet is working fine.Pls help","@GloCare 08055138456 Hello, since yesterday afternoon til now I cannot make a call. Whenever I try to call, it will cut off by itself, but my Internet is working fine.Pls help","@GloCare! Had network issue over 2 days, Got no connection, can't make calls nor receive , my no is 08158140245! Can u help out pls","@GloCare! Had network issue over 2 days, Got no connection, can't make calls nor receive , my no is 08158140245! Can u help out pls",1886123,1855827,1855827,True
So I haven't been able to make calls since yesterday @GloCare,So I haven't been able to make calls since yesterday @GloCare,So I haven't been able to make calls since yesterday @GloCare,Haven't been able to make calls since yesterday @117627 @GloCare what is happening?,What's happening... Can't make calls @glocare,1886126,1886236,1016150,True
Haven't been able to make calls since yesterday @117627 @GloCare what is happening?,Haven't been able to make calls since yesterday @117627 @GloCare what is happening?,Haven't been able to make calls since yesterday @117627 @GloCare what is happening?,So I haven't been able to make calls since yesterday @GloCare,What's happening... Can't make calls @glocare,1886236,1886126,1016150,True
@GloCare to eat up my 80gbs. I load 1000 naira on my son to ensure it roles over so as not to loose my gbs. Only for u to deduct 200 naira.,@GloCare to eat up my 80gbs. I load 1000 naira on my son to ensure it roles over so as not to loose my gbs. Only for u to deduct 200 naira.,@GloCare to eat up my 80gbs. I load 1000 naira on my son to ensure it roles over so as not to loose my gbs. Only for u to deduct 200 naira.,@GloCare how do I get 2GB for 500 Naira for 10 days,@GloCare I don't understand it. Is 500 naira for 800mb?,1886847,2840645,853042,True
"@GloCare I tried in loading a recharge care to no avail.  Had tried calling Customer care at no help in sight,  what do I do?","@GloCare I tried in loading a recharge care to no avail.  Had tried calling Customer care at no help in sight,  what do I do?","@GloCare I tried in loading a recharge care to no avail.  Had tried calling Customer care at no help in sight,  what do I do?","Hi @GloCare I've not been able to recharge since yesterday morning, and your customer care lines aren't connecting. Please help.",@GloCare why can't I call check my balance or even top my recharge. I can't even reach customer care. I need to call someone,1886871,1885875,2447078,True
"@GloCare Ur CUG Is Now Useless,Both Call&amp;Sms Were Unlimited,but Now We Hv Only 8hrs 60sms,ppl Re Now Leaving It,even Me I Won't Rechrg Again","@GloCare Ur CUG Is Now Useless,Both Call&amp;Sms Were Unlimited,but Now We Hv Only 8hrs 60sms,ppl Re Now Leaving It,even Me I Won't Rechrg Again","@GloCare Ur CUG Is Now Useless,Both Call&amp;Sms Were Unlimited,but Now We Hv Only 8hrs 60sms,ppl Re Now Leaving It,even Me I Won't Rechrg Again",@GloCare please stop sending me sms from 32300. I have lost counts of time calling ur customer care.,@GloCare I have not been able to receive phone calls and send sms on my line for a while now,1888351,1735811,1920846,True
"@GloCare please do something urgent, we don't have glo network for the past  3 days at Ayobo axis. We can't call, browse or even text.","@GloCare please do something urgent, we don't have glo network for the past  3 days at Ayobo axis. We can't call, browse or even text.","@GloCare please do something urgent, we don't have glo network for the past  3 days at Ayobo axis. We can't call, browse or even text.",@GloCare Pls what is wrong with glo network? Have not been able to call or browse with my line. Pls help,"@GloCare Unfortunately Network is down again.
This is truly unfortunate. No guarantee on glo networks!",1890434,745773,1686962,True
"Dear @117627 @GloCare your network is as poor as anything in maiduguri within area of imam malik, both calls and data service is so bad mostly data service, please fix it cuz we're a big fan of yours, we hope it's put into consideration soonest, thank you...","Dear @117627 @GloCare your network is as poor as anything in maiduguri within area of imam malik, both calls and data service is so bad mostly data service, please fix it cuz we're a big fan of yours, we hope it's put into consideration soonest, thank you...","Dear @117627 @GloCare your network is as poor as anything in maiduguri within area of imam malik, both calls and data service is so bad mostly data service, please fix it cuz we're a big fan of yours, we hope it's put into consideration soonest, thank you...","@GloCare your network is so bad around my area, I could not call, I could not use my data. Meiran, in Lagos. For the past 3weeks now.",Plz do something about my line 08054022482. Poor data service! I've changed from one Network Type to another still same. @GloCare @117627,1890445,2242970,1852635,True
Hi @GloCare I'm having issues migrating to generation G tarrif plan... I need your help. Please what's the right code?,Hi @GloCare I'm having issues migrating to generation G tarrif plan... I need your help. Please what's the right code?,Hi @GloCare I'm having issues migrating to generation G tarrif plan... I need your help. Please what's the right code?,Hi @GloCare I'm having issues migrating to generation G tarrif plan... I need your help. Please what's the right code?,@GloCare how to migrate Pumpa triff plan?,1891365,1891365,2218186,True
@GloCare can you guys do something about your network service in owo ondo state? It's really frustrating.,@GloCare can you guys do something about your network service in owo ondo state? It's really frustrating.,@GloCare can you guys do something about your network service in owo ondo state? It's really frustrating.,"@GloCare @117627 seems you like how we complain about your services,day in and day out. Ado-odo/otta,no network whatsoever for three days","@GloCare  for days network is bad in Kano State.  pls, do something or else we migrate to other networks.",1893014,1882184,2469245,True
"@GloCare for the past six weeks,no GLO signal in BORRONG in MBULA kingdom and entire DEMSA L.G.A,fix the problem and cheer your numerous subscribers pls.","@GloCare for the past six weeks,no GLO signal in BORRONG in MBULA kingdom and entire DEMSA L.G.A,fix the problem and cheer your numerous subscribers pls.","@GloCare for the past six weeks,no GLO signal in BORRONG in MBULA kingdom and entire DEMSA L.G.A,fix the problem and cheer your numerous subscribers pls.",@117627 @GloCare GLO THE SUFFERING IS UNBEARABLE. GLO COMMUNICATION MAST MOUNTED BETWEEN  IRO N MOKOLOKI TOWN IS FAULTY. PLS WE NEED GLO ENGINEERS OVER THERE B4  THINGS GET OUT OF HANDS.IT IS THREE GOOD DAYS WiTHOUT NETWORKS OR  SERVices,@GloCare the problem is yet to be fix...no glo service in my town,1894590,1921384,2470838,True
@GloCare My airtime has dropped from 40 to 15 again? What did I do for you guys gangan? I want to know.,@GloCare My airtime has dropped from 40 to 15 again? What did I do for you guys gangan? I want to know.,@GloCare My airtime has dropped from 40 to 15 again? What did I do for you guys gangan? I want to know.,"@GloCare why do you guys keep deducting my airtime for no reason?
You want me to switch again?",@GloCare I need my airtime back pls cos this is like the 3rd time it's happening and I won't take this anymore. You guys should refund me.,1894594,445881,2419684,True
@GloCare Hmmm.,@GloCare Hmmm.,@GloCare Hmmm.,@GloCare ok.,@GloCare OK,1894593,2159656,2669561,True
@GloCare That's not what I have problem with please. Fix this deductions thing.,@GloCare That's not what I have problem with please. Fix this deductions thing.,@GloCare That's not what I have problem with please. Fix this deductions thing.,@GloCare Please do something about this problem of deductions,@GloCare but one things remains. I am a victim of unsolicited deductions. Please deactivate all deductions on 0815699716,1894596,1206714,883415,True
@GloCare Still waiting,@GloCare Still waiting,@GloCare Still waiting,@GloCare Am still waiting,@GloCare I am still waiting,1894598,2092895,2260264,True
"@GloCare 08050904449. Been noticing it for a while now, but last night and this morning was kind of annoying.","@GloCare 08050904449. Been noticing it for a while now, but last night and this morning was kind of annoying.","@GloCare 08050904449. Been noticing it for a while now, but last night and this morning was kind of annoying.",@GloCare @117627 THIS IS VERY FRUSTRATING!,@GloCare It's been over an hour ooo and this has never happen before. 08119243319,1894603,2024708,2722092,True
"@GloCare please, I'm noticing some deductions on my account balance.","@GloCare please, I'm noticing some deductions on my account balance.","@GloCare please, I'm noticing some deductions on my account balance.","@139868 @GloCare Am just angry with these people, about last 2 weeks thereabout, i complained here that i experience inexplicable deductions from my balance",@GloCare please what deduction are you guys deducting again? Did I subscribe for anything?,1894605,107464,276376,True
@GloCare I have already try all of these things but it's not working properly,@GloCare I have already try all of these things but it's not working properly,@GloCare I have already try all of these things but it's not working properly,@GloCare @117627 it's not working!!!!!! 🙄🙄🙄🙄.,"@GloCare Thanks,its working perfectly now",1894608,1377034,1072220,True
@GloCare  hi i want you to help me on how to browse with me android k9 spark plus,@GloCare  hi i want you to help me on how to browse with me android k9 spark plus,@GloCare  hi i want you to help me on how to browse with me android k9 spark plus,"@GloCare Dear Team, I just restarted the phone now and was able to browse, thanks for your response, we will monitor performance and keep you posted. Thanks","@GloCare This is my mobile number 08110319657,it is phones internet browse.
Thanks for the reply.",1894611,65457,2941348,True
Pls where is the closet glo office around Ikeja axis... I need to upgrade my sim to 4g now??? And what should I go with? @117627 @GloCare,Pls where is the closet glo office around Ikeja axis... I need to upgrade my sim to 4g now??? And what should I go with? @117627 @GloCare,Pls where is the closet glo office around Ikeja axis... I need to upgrade my sim to 4g now??? And what should I go with? @117627 @GloCare,"@GloCare good afternoon,pls where and how can I get a glorious 4g SIM and pls,kindly update me the area it covers. I live in Lagos work in agbara ogun state. Thank you","@GloCare Hi please where can I get a 4g sim around Yaba/Palmgrove, Lagos today???

Was at your s/lere office earlier this week they didn't have,  Sabo office under lock and key",1895993,2945943,140589,True
"@GloCare your Glo is bad for browsing, why","@GloCare your Glo is bad for browsing, why","@GloCare your Glo is bad for browsing, why",@GloCare browsing with glo has always been a disaster.,"@GloCare, I don't enjoy browsing with Glo, do something to correct that#",1902211,2563717,2619514,True
@GloCare good evening I've not been able to recharge my phone I can make calls either,@GloCare good evening I've not been able to recharge my phone I can make calls either,@GloCare good evening I've not been able to recharge my phone I can make calls either,@GloCare had to go recharge my phone at great discomfort to my resources to make calls this morning,"@GloCare I can't make call and even when I tried to recharge, it says I can't get access to my account for now",1903598,2600723,1206712,True
"@GloCare hello evening have bn trying to make call on my lines, it's has bn dropping. Pls help me","@GloCare hello evening have bn trying to make call on my lines, it's has bn dropping. Pls help me","@GloCare hello evening have bn trying to make call on my lines, it's has bn dropping. Pls help me","@GloCare Good morning, Pls I've been tryin to make calls on my line 07053662997 but it's not going tru. Please check what could be wrong..","@GloCare I have not been able to Mk calls or send message from my line 08079053766,error response: call drops, since the past 29hrs.",1903670,1046648,1884941,True
"@117627 @glocare  am tryin to recharge but am getting ""sorry, u cannot have access to your account"".","@117627 @glocare  am tryin to recharge but am getting ""sorry, u cannot have access to your account"".","@117627 @glocare  am tryin to recharge but am getting ""sorry, u cannot have access to your account"".",@GloCare I don't know why have not been able to recharge my account,"@GloCare please I've been trying to recharge, but a message of ""sorry you don't have access to your account"" keeps showing.",1904144,1016155,388781,True
"@117627 @GloCare somebody will pay for ur data service and u ppl will just do like werey.
With no form of explanation, this country sef","@117627 @GloCare somebody will pay for ur data service and u ppl will just do like werey.
With no form of explanation, this country sef","@117627 @GloCare somebody will pay for ur data service and u ppl will just do like werey.
With no form of explanation, this country sef",@117627 @GloCare  Ur services are d worst I've seen. One pays for data &amp; cannot use it due to consistent poor network. #fraud #verypainful,@117627 @GloCare @117627 Data service is very poor in my area.,1904676,2227633,2031927,True
"@GloCare
@117627 
I don't think I have ever received this your  200MB free data...how do I receive the one coming up on the 31st?","@GloCare
@117627 
I don't think I have ever received this your  200MB free data...how do I receive the one coming up on the 31st?","@GloCare
@117627 
I don't think I have ever received this your  200MB free data...how do I receive the one coming up on the 31st?",@GloCare Hello good morning please how will I know that I have been received the free data today bcoz I have been loading up to N1000 now,"@GloCare my 1.6g data plan that was activated at 6:40pm yesterday is 322mb today. HOW?? Sent an email to __email__,no response!",1904680,296348,276705,True
@GloCare network has been terrible in the last 4 days at Ahmaddiyah/Ijaiye/abuleEgba axis. 2g/3g/4g na zilch. Oga o.. cc @117626,@GloCare network has been terrible in the last 4 days at Ahmaddiyah/Ijaiye/abuleEgba axis. 2g/3g/4g na zilch. Oga o.. cc @117626,@GloCare network has been terrible in the last 4 days at Ahmaddiyah/Ijaiye/abuleEgba axis. 2g/3g/4g na zilch. Oga o.. cc @117626,"@GloCare needs to improve their network coverage in Saminaka, Lere LG of Kaduna State. This month has been quite worse. 2weeks of outage","@GloCare your network is very poor and weak here in Makurdi, Benue State, Nigeria. Pls improve",1904696,2515533,443612,True
"@117627  @GloCare why can't u access my account balance, recharge or browse. What's happening to your network here in port Harcourt","@117627  @GloCare why can't u access my account balance, recharge or browse. What's happening to your network here in port Harcourt","@117627  @GloCare why can't u access my account balance, recharge or browse. What's happening to your network here in port Harcourt","@117627 @glocare I can't call on my line, I can't check my account balance either... Pls help, being having this problem since yesterday","@117627 @glocare  am tryin to recharge but am getting ""sorry, u cannot have access to your account"".",1904705,1884706,1904144,True
Hello @117627 @GloCare ur network is terrible &amp; frustrating here in ABK. It took 5hrs for a simple 'Hello' to b delivered on WhatsApp.,Hello @117627 @GloCare ur network is terrible &amp; frustrating here in ABK. It took 5hrs for a simple 'Hello' to b delivered on WhatsApp.,Hello @117627 @GloCare ur network is terrible &amp; frustrating here in ABK. It took 5hrs for a simple 'Hello' to b delivered on WhatsApp.,@GloCare My mobile Nos are: 08059474258 &amp; 07056805635. It times out each time I open Facebook and my WhatsApp messages are not delivered. I am in Adekunle Area near Panti Police Station. Lagos Mainland. Infinix Hot 2 &amp; GalaxyTab A. A week today.,"@GloCare One can't even send a simple WhatsApp message, not to talk of doing any browsing. There hasn't been improvement since I last complained.",1904974,151725,1430495,True
@GloCare @117627 Still same poor network... Nothing has changed. Nawah!,@GloCare @117627 Still same poor network... Nothing has changed. Nawah!,@GloCare @117627 Still same poor network... Nothing has changed. Nawah!,"goodbye 👋 to @117627 @GloCare poor network.. 4years of poor network is over today.
I brake up completely with Glo, the grand Master of poor network",@GloCare @117627 Network is still bad.. very bad.,1852636,2330333,2441576,True
"@GloCare @117627 
Hello someone in here,
Please help block my SIM number 08055101658, my phone was stolen last night pending my retrieval","@GloCare @117627 
Hello someone in here,
Please help block my SIM number 08055101658, my phone was stolen last night pending my retrieval","@GloCare @117627 
Hello someone in here,
Please help block my SIM number 08055101658, my phone was stolen last night pending my retrieval",@GloCare pls a phone just got stolen and we want to temporarily block the sim. Need a response asap. And how can I send a DM to you for,"@GloCare please block my GLO line... Phone has been stolen... 
08057017999",1905189,883423,1802067,True
"@GloCare the browsing network has been bad since yesterday at ohafia street, Ago palace way.  Please do something about it.","@GloCare the browsing network has been bad since yesterday at ohafia street, Ago palace way.  Please do something about it.","@GloCare the browsing network has been bad since yesterday at ohafia street, Ago palace way.  Please do something about it.","@GloCare 
We are experiencing a very bad browsing network at Igan road,limelight hotel area in Ago Iwoye,Ogun state.We will be glad if you could do something about it soon.Thanks.","@GloCare Please do something about this poor network,i can't browse since 4pm this evening due to your bad network,Please and please",1907569,493112,2443721,True
@GloCare  hello ! Please can you auto renew my monthly plan to enable me enjoy the 100%bonus  before i exhaust my remaining data ?,@GloCare  hello ! Please can you auto renew my monthly plan to enable me enjoy the 100%bonus  before i exhaust my remaining data ?,@GloCare  hello ! Please can you auto renew my monthly plan to enable me enjoy the 100%bonus  before i exhaust my remaining data ?,"@GloCare good evening, i just renewed my plan and got no bonus data ... please check 07055100335","@GloCare what is happening?
Each time I renew my data plan I don't recieve the 100% bonus data...any help??",1907899,2954096,2121910,True
"@GloCare I bought a 4G sim, 07057465320. Bought data, and its showing as 3G on glo cafe. Kindly check the line.","@GloCare I bought a 4G sim, 07057465320. Bought data, and its showing as 3G on glo cafe. Kindly check the line.","@GloCare I bought a 4G sim, 07057465320. Bought data, and its showing as 3G on glo cafe. Kindly check the line.",@GloCare I bought a 4g glo SIM and it's not showing network when ever I put it on 4g help me please this is my number https://t.co/tqDBinMMCX,"@GloCare I went to your office at Adeola Odeku to request for 4G sim, they said 4g is not on ground they have only 3G for now please what's really happen",1909577,134510,443608,True
@GloCare Good morning. I sent the message. Didn't get any reply. My device is a Samsung Galaxy Tab A. What can I do?,@GloCare Good morning. I sent the message. Didn't get any reply. My device is a Samsung Galaxy Tab A. What can I do?,@GloCare Good morning. I sent the message. Didn't get any reply. My device is a Samsung Galaxy Tab A. What can I do?,@GloCare I have restated my device and it's not still working,"@GloCare 08116867466, I'm using Samsung Galaxy S8. 
Thanks",1909576,134509,2938577,True
"@GloCare hi, I renewed my 2,500 monthly data plan b4 the old one expired,got a msg saying I had got my 100% bonus but it's not in my account","@GloCare hi, I renewed my 2,500 monthly data plan b4 the old one expired,got a msg saying I had got my 100% bonus but it's not in my account","@GloCare hi, I renewed my 2,500 monthly data plan b4 the old one expired,got a msg saying I had got my 100% bonus but it's not in my account","@GloCare what is happening?
Each time I renew my data plan I don't recieve the 100% bonus data...any help??",@GloCare you guys. I just renewed my data plan and I didn't get my bonus. Fix it!!,1909585,2121910,2414049,True
@GloCare do you have any whatsapp number one can chat with to make enquiries,@GloCare do you have any whatsapp number one can chat with to make enquiries,@GloCare do you have any whatsapp number one can chat with to make enquiries,@GloCare can I subscribe to whatsapp only?,@117627 @GloCare Facebook and others are workin but my bank application and whatsapp is not workin at all. Keep telin me no internet conet,1909609,2739988,2227622,True
"@GloCare I want more info on your sme data bundles, full details please","@GloCare I want more info on your sme data bundles, full details please","@GloCare I want more info on your sme data bundles, full details please",@GloCare pls can u share with me how I exhausted the data bundle?... 08113810544,@GloCare I just got my line and this is my first time to subscribe for data bundle,1909608,160986,584011,True
@GloCare Network has been sketchy in Alagomeji Area for 3 days now. Help!,@GloCare Network has been sketchy in Alagomeji Area for 3 days now. Help!,@GloCare Network has been sketchy in Alagomeji Area for 3 days now. Help!,"@GloCare No network at all around Ibafo, oremeji area of Ogun state since two days ago, kindy help in that regard. U guys are wonderful",@GloCare network in abakaliki has been poor since yesterday please fix,1909613,2534354,869606,True
"@GloCare LTE, 3G and Egde. I'm using a Galaxy S7 Dual. Glo network is the one without network https://t.co/wwGqG6lQWE","@GloCare LTE, 3G and Egde. I'm using a Galaxy S7 Dual. Glo network is the one without network https://t.co/wwGqG6lQWE","@GloCare LTE, 3G and Egde. I'm using a Galaxy S7 Dual. Glo network is the one without network https://t.co/wwGqG6lQWE",@GloCare there's no network at all 3G or otherwise.,"@GloCare I always use 3G network only on my device settings, so that cannot be the issue. I'm guessing it's from Glo server end. Pls advice.",1909612,1422183,1343527,True
"@GloCare 08052370848, mobile network n/a, Alagomeji/Sabo bus stops, 3days, Samsung S7","@GloCare 08052370848, mobile network n/a, Alagomeji/Sabo bus stops, 3days, Samsung S7","@GloCare 08052370848, mobile network n/a, Alagomeji/Sabo bus stops, 3days, Samsung S7","@GloCare 08059746395, Lagos , Aguda Celle Area, Android Leagoo","@GloCare 09056147449, Gbagada ifako, Having a slow mobile data reception, samsung grand prime. Thanks",1909615,589720,1302575,True
"@GloCare good day ,please I just renewed my subscription and I should have 10gig but I have only 5gig","@GloCare good day ,please I just renewed my subscription and I should have 10gig but I have only 5gig","@GloCare good day ,please I just renewed my subscription and I should have 10gig but I have only 5gig",@GloCare I subscribed the day after my subscription expired and was given 1.6 GB ooo,"@GloCare please I subscribed now with auto renewal and when I checked my data balance, am seeing 1.6gig",1909619,967833,2723653,True
"Hey @GloCare your LTE data service is becoming terrible. 

Do I need to port again?","Hey @GloCare your LTE data service is becoming terrible. 

Do I need to port again?","Hey @GloCare your LTE data service is becoming terrible. 

Do I need to port again?",@GloCare am having difficulty to browse with my line since this morning the 3G nor the LTE service is too poor please what's going on ?,"@GloCare @117627 No response, getting worse. Make we port till una fix network issues? https://t.co/mn30rWVTNZ",1909621,2242927,2414075,True
@GloCare This happened within the last 2 weeks.Can you assist to restore network reception to status quo ante.Location details can be provided via DM,@GloCare This happened within the last 2 weeks.Can you assist to restore network reception to status quo ante.Location details can be provided via DM,@GloCare This happened within the last 2 weeks.Can you assist to restore network reception to status quo ante.Location details can be provided via DM,@GloCare check it now. Network must have rectified itself by now. 07059835151,@GloCare your network has started again in my area oooo... Seems it's time to get rid of your sim card.. I didn't have service since yesterday morning,1911214,725190,2493431,True
